address, orgdownNm, orgCd
부산광역시북구,부산동물보호센터,326332201000001
부산광역시사상구,유기동물및동물보호협,326339201300001
부산광역시사하구,유기동물및동물보호협,326334201600001
부산광역시서구,부산동물보호센터,326326201000001
부산광역시수영구,누리동물병원,326338201300001
부산광역시연제구,누리동물병원,326337201100001
부산광역시연제구,청조동물병원,326337201300001
부산광역시연제구,부산광역시 수의사회,326337201700001
부산광역시연제구,태종동물병원,326337201900001
부산광역시영도구,하얀비둘기,326328201900001
부산광역시중구,부산동물보호센터,326325201300001
부산광역시해운대구,누리동물병원,326333201100001
대구광역시남구,대구유기동물보호센터,327344201600001
대구광역시달서구,대구유기동물보호센터,327347201400001
대구광역시달성군,대구수의사회(달성군),327348201300001
대구광역시달성군,화원연합동물병원,327348201500004
대구광역시달성군,포산동물병원,327348201500001
대구광역시달성군,현풍동물병원,327348201500002
대구광역시달성군,달성축산동물병원,327348201500003
대구광역시달성군,동인동물병원,327348201700001
대구광역시달성군,명곡역동물병원,327348201700004
대구광역시달성군,119동물병원,327348201700003
대구광역시동구,(재)한국동물보호협회,327342201100001
대구광역시동구,대구유기동물보호센터,327342201400001
대구광역시북구,대구유기동물보호센터,327345201400001
대구광역시서구,대구시수의사회(삼성),327343201500001
대구광역시서구,대구시수의사회(보경),327343201500003
대구광역시서구,대구시수의사회(더난),327343201500005
대구광역시서구,대구시수의사회(더펫),327343201900001
대구광역시서구,대구수의사회(아이펫),327343201500004
대구광역시수성구,제니스동물병원,327346201500009
대구광역시수성구,신세계동물병원,327346201500011
대구광역시수성구,(사)대구수의사회,327346201500001
대구광역시수성구,예스동물병원,327346201500015
대구광역시수성구,허동물병원,327346201800001
대구광역시수성구,금강동물병원,327346201800002
대구광역시수성구,펫동물병원,327346201900001
대구광역시중구,대구광역시수의사회,327341200900001
대구광역시중구,대구시수의사회(고려),327341201200003
대구광역시중구,대구시수의사회(동산),327341201200004
대구광역시중구,대구시수의사회(동인),327341201200001
대구광역시중구,대구시수의사회(삼덕),327341201200002
대구광역시중구,대구시수의사회(원),327341201900001
인천광역시강화군,베스트동물병원,328357200900001
인천광역시강화군,서울동물병원,328357201700001
인천광역시계양구,신영재동물병원,328355200900001
인천광역시남동구,인천수의사회,328353200900001
인천광역시동구,인천종합동물병원,328350200900001
인천광역시미추홀구,인천광역시 수의사회 ,328351200900001
인천광역시미추홀구,학익동물병원,328351201800002
인천광역시미추홀구,펫홈종합동물병원,328351201900001
인천광역시부평구,늘푸른동물병원,328354201700002
인천광역시부평구,세림동물병원,328354201600001
인천광역시부평구,청천종합동물병원,328354201600002
인천광역시부평구,삼산종합동물병원,328354201700003
인천광역시부평구,짱구네동물병원,328354201900001
인천광역시부평구,조재진동물병원,328354202000001
인천광역시서구,가정동물병원,328356201000001
인천광역시서구,서구종합동물병원,328356201600002
인천광역시서구,예스동물병원,328356201600003
인천광역시서구,우리동물병원,328356201600005
