dog_id, age, weight, sex, kind, color, neuter, thumnail, profile, careAddr, careNm	, special, find_place , find_date , end_date
N411308202000494,2010(년생),3.6(Kg),M,말티즈,흰,N,http://www.animal.go.kr/files/shelter/2020/07/202009091409220_s.jpg,http://www.animal.go.kr/files/shelter/2020/07/202009091409220.jpg,경기도 양주시 남면 상수리 410-1,한국동물구조관리협회,코검정/혀내밂/꼬리/네발변색/양뒷다리며느리발톱/가슴쪽손대면싫어함/사람좋아함/낑낑댐/,오현로 208 번동 주공3단지아파트 복지관 앞,20200909,20200921
N469569202000364,2019(년생),13(Kg),M,차우차우,옅은갈색,U,http://www.animal.go.kr/files/shelter/2020/07/202009081909662_s.jpg,http://www.animal.go.kr/files/shelter/2020/07/202009081909662.jpg,세종특별자치시  전동면 미륵당1길 188 (전동면) ,세종유기동물보호센터,혀가 보라색,장군면 봉안리,20200908,20200915
N448567202001056,2018(년생),18(Kg),M,믹스견,검정색/흰색,N,http://www.animal.go.kr/files/shelter/2020/07/202009081609105_s.jpg,http://www.animal.go.kr/files/shelter/2020/07/202009081609105.jpg,경상남도 창원시 의창구 창이대로 71 (명서동/ 창원시농업기술센터) 축산과,창원유기동물보호소,J-9-1-13  검정색/흰색/ 목줄/릴드줄착용/ 어제밤부터 묶여 있었다고 함/,성산구 상남동 중앙체육공원내 정자,20200908,20200917
N448567202001054,2018(년생),9(Kg),F,믹스견,검정색,N,http://www.animal.go.kr/files/shelter/2020/07/20200908130960_s.jpg,http://www.animal.go.kr/files/shelter/2020/07/20200908130960.jpg,경상남도 창원시 의창구 창이대로 71 (명서동/ 창원시농업기술센터) 축산과,창원유기동물보호소,J-9-1-12  검정색/흰색/ 이마에 가는세로줄/ ,의창구 북면 구룡로 335-10 부근,20200908,20200917
N448567202001041,2019(년생),7.5(Kg),F,믹스견,흰색,N,http://www.animal.go.kr/files/shelter/2020/07/202009081009607_s.jpg,http://www.animal.go.kr/files/shelter/2020/07/202009081009607.jpg,경상남도 창원시 의창구 창이대로 71 (명서동/ 창원시농업기술센터) 축산과,창원유기동물보호소,J-9-1-11 갈색/ 겁이 많음/ 대형포획틀에 포획됨/,의창구 대산면 모산리 708-6번지,20200908,20200917
N448548202000324,2018(년생),10(Kg),M,믹스견,검은색 ,N,http://www.animal.go.kr/files/shelter/2020/07/202009081409582_s.jpg,http://www.animal.go.kr/files/shelter/2020/07/202009081409582.jpg,경상남도 합천군 합천읍 옥산로 16 (합천읍/ 까치빌라) 태민동물병원,태민동물병원,겁이 많고 소심함,합천읍 야로119구조대 ,20200908,20200918
N448548202000323,2019(년생),5(Kg),M,믹스견,검은색,N,http://www.animal.go.kr/files/shelter/2020/07/202009081409449_s.jpg,http://www.animal.go.kr/files/shelter/2020/07/202009081409449.jpg,경상남도 합천군 합천읍 옥산로 16 (합천읍/ 까치빌라) 태민동물병원,태민동물병원,온순하며 사람을 좋아하고 애교가 많아요 ,합천군 용주면 하늘호수길 11,20200908,20200918
N448538202000473,2018(년생),5.0(Kg),M,믹스견,흰색,U,http://www.animal.go.kr/files/shelter/2020/07/202009081809560_s.jpg,http://www.animal.go.kr/files/shelter/2020/07/202009081809560.jpg,경상남도 양산시 동면 석산리 392 양산시농업기술센터,양산시유기동물보호소,흰색,용당동 내광로32,20200908,20200918
N448533202000533,2019(년생),3.9(Kg),F,믹스견,흰색/크림색/갈색(귀),N,http://www.animal.go.kr/files/shelter/2020/07/202009081209619_s.jpg,http://www.animal.go.kr/files/shelter/2020/07/202009081209619.jpg,경상남도 통영시 광도면 죽림3로 33 (광도면) 사랑애완동물병원,사랑애완동물병원,생후 1년6개월령 성견/방울달린 녹색(노란색 라인)목테 착용,정량동 성우빌라 근처,20200908,20200918
N448532202000727,2019(년생),7(Kg),M,믹스견,흰색,N,http://www.animal.go.kr/files/shelter/2020/07/202009081709416_s.jpg,http://www.animal.go.kr/files/shelter/2020/07/202009081709416.jpg,경상남도 창원시 진해구 웅천로 218 (성내동/ 농업기술센터) 205번지 ,진해유기동물보호소,검은색 목줄/ 친화적/ 중X/ 칩X,대장동 농로,20200908,20200917
N448532202000725,2020(년생),2.8(Kg),F,믹스견,연배이지,N,http://www.animal.go.kr/files/shelter/2020/07/20200908170943_s.jpg,http://www.animal.go.kr/files/shelter/2020/07/20200908170943.jpg,경상남도 창원시 진해구 웅천로 218 (성내동/ 농업기술센터) 205번지 ,진해유기동물보호소,2개월추정/ 3마리 같이 입소/ 중X/ 칩X,명동횟집,20200908,20200917
N448532202000723,2020(년생),3.5(Kg),M,믹스견,연베이지,N,http://www.animal.go.kr/files/shelter/2020/07/202009081709229_s.jpg,http://www.animal.go.kr/files/shelter/2020/07/202009081709229.jpg,경상남도 창원시 진해구 웅천로 218 (성내동/ 농업기술센터) 205번지 ,진해유기동물보호소,2개월추정/ 3마리 같이 입소/ 중X/ 칩X,명동횟집,20200908,20200917
N448532202000722,2020(년생),3(Kg),F,믹스견,검베이지,N,http://www.animal.go.kr/files/shelter/2020/07/202009081709981_s.jpg,http://www.animal.go.kr/files/shelter/2020/07/202009081709981.jpg,경상남도 창원시 진해구 웅천로 218 (성내동/ 농업기술센터) 205번지 ,진해유기동물보호소,2개월추정/ 3마리 같이 입소/ 중X/ 칩X,명동횟집,20200908,20200917
N448532202000721,2020(년생),3(Kg),F,믹스견,검정/흰색,N,http://www.animal.go.kr/files/shelter/2020/07/202009081709989_s.jpg,http://www.animal.go.kr/files/shelter/2020/07/202009081709989.jpg,경상남도 창원시 진해구 웅천로 218 (성내동/ 농업기술센터) 205번지 ,진해유기동물보호소,3개월 추정/ 온순 친화적/ 중X/ 칩X,여좌동 해피하우스 앞,20200908,20200917
N448531202000596,2017(년생),12.2(Kg),F,믹스견,흰색/검정색/갈색,N,http://www.animal.go.kr/files/shelter/2020/07/20200908160921_s.jpg,http://www.animal.go.kr/files/shelter/2020/07/20200908160921.jpg,경상남도 진주시 집현면 신당길207번길 22 (집현면/ 지역농업개발시설) ,진주시유기동물보호소,입질함,진주시 수곡면 원계리,20200908,20200918
N448531202000595,2020(년생),15(Kg),F,믹스견,검정/흰색,N,http://www.animal.go.kr/files/shelter/2020/07/202009081009447_s.jpg,http://www.animal.go.kr/files/shelter/2020/07/202009081009447.jpg,경상남도 진주시 집현면 신당길207번길 22 (집현면/ 지역농업개발시설) ,진주시유기동물보호소,많이 짖음/경계심심함,진주시 내동면 독산리,20200908,20200918
N447523202000134,2017(년생),7(Kg),M,믹스견,진한갈색,U,http://www.animal.go.kr/files/shelter/2020/07/202009081509678_s.jpg,http://www.animal.go.kr/files/shelter/2020/07/202009081509678.jpg,경상북도 예천군 예천읍 충효로 632-84 (예천읍/ 유기동물보호소) ,예천군유기동물보호소,구조시 목줄없음,예천남부초등학교,20200908,20200918
N447523202000133,2018(년생),3(Kg),F,믹스견,갈색,N,http://www.animal.go.kr/files/shelter/2020/07/202009081509608_s.jpg,http://www.animal.go.kr/files/shelter/2020/07/202009081509608.jpg,경상북도 예천군 예천읍 충효로 632-84 (예천읍/ 유기동물보호소) ,예천군유기동물보호소,구조시 목줄없음,예천남부초등학교,20200908,20200918
N447523202000132,2017(년생),3(Kg),M,믹스견,갈색/ 흰색,N,http://www.animal.go.kr/files/shelter/2020/07/20200908150924_s.jpg,http://www.animal.go.kr/files/shelter/2020/07/20200908150924.jpeg,경상북도 예천군 예천읍 충효로 632-84 (예천읍/ 유기동물보호소) ,예천군유기동물보호소,구조시 목줄없음,예천남부초등학교,20200908,20200918
N447522202000281,2019(년생),4.5(Kg),F,믹스견,갈색,N,http://www.animal.go.kr/files/shelter/2020/07/202009081709991[2]_s.jpg,http://www.animal.go.kr/files/shelter/2020/07/202009081709991[2].jpg,경상북도 칠곡군 석적읍 포망로 341 (석적읍) ,칠곡유기동물보호센터,초록색목테와쇠줄이끊어져나옴 동네이장 연락했어나귀찮은듯보호소데려가라고하네요 사람잘따름,지천면신동로211,20200908,20200915
N447513202000770,2018(년생),5.9(Kg),F,믹스견,갈색,N,http://www.animal.go.kr/files/shelter/2020/07/202009081709891[1]_s.jpg,http://www.animal.go.kr/files/shelter/2020/07/202009081709891[1].jpg,경상북도 경산시 용성면 사양지길 95 (용성면) ,경산시유기동물보호소,가정집에 들어와 나가지 않는다고 하여 구조,일언리,20200908,20200918
