dog_id, age, weight, sex, kind, color, neuter, thumnail, profile, careAddr, careNm, special, find_place , find_date , end_date
N444453202000638,2015(년생),4.16(Kg),M,미텔 스피츠,흰색,N,http://www.animal.go.kr/files/shelter/2020/07/202009091909232_s.jpg,http://www.animal.go.kr/files/shelter/2020/07/202009091909232.jpg,충청남도 서산시 안견로 312 (읍내동/ 서원빌딩) 1층,성심동물의료센터,노란 노끈으로 목줄/ 리드줄 함/ 많이 지저분함,양대동 동아아파트 부근,20200910,20200917
N442428202000065,2015(년생),15(Kg),F,믹스견,흑갈색,N,http://www.animal.go.kr/files/shelter/2020/07/202009091509930_s.jpg,http://www.animal.go.kr/files/shelter/2020/07/202009091509930.jpg,강원도 평창군 진부면 청송로 61 ,평창군유기동물보호소,특이사항없음,강원도 평창군 진부면 진부중앙로 135,20200910,20200919
N441560202000792,2019(년생),5.8(Kg),M,믹스견,흰/연갈,Y,http://www.animal.go.kr/files/shelter/2020/07/202009101509179_s.jpg,http://www.animal.go.kr/files/shelter/2020/07/202009101509179.jpg,경기도 양주시 남면 감악산로 63-37 (남면) 한국동물구조관리협회,한국동물구조관리협회,양귀접혀잇음/ 코연분홍/ 털엉킴/ 뭉침/ 진드기오염/ 사람따름/ 온순함/ 얌전함/,영북면 산정호수로 285-11 인근,20200910,20200921
N441559202000858,2018(년생),6.7(Kg),F,믹스견,흰/갈,U,http://www.animal.go.kr/files/shelter/2020/07/202009101409652_s.jpg,http://www.animal.go.kr/files/shelter/2020/07/202009101409652.jpg,경기도 양주시 남면 감악산로 63-37 (남면) ,한국동물구조관리협회,양귀처짐/ 코갈색/ 털뭉침/ 때탐/ 입주변오염/ 얌전함/,봉양동 347 인근,20200910,20200921
N441559202000857,2019(년생),6.6(Kg),M,포메라니안,검,N,http://www.animal.go.kr/files/shelter/2020/07/202009101409470_s.jpg,http://www.animal.go.kr/files/shelter/2020/07/202009101409470.jpg,경기도 양주시 남면 감악산로 63-37 (남면) ,한국동물구조관리협회,코검정/혈뇨 보는듯/사람좋아함/소심함/털뭉침/오물오염/,봉양동 347 인근,20200910,20200921
N441559202000856,2019(년생),7.7(Kg),F,스피츠,흰,U,http://www.animal.go.kr/files/shelter/2020/07/202009101409495_s.jpg,http://www.animal.go.kr/files/shelter/2020/07/202009101409495.jpg,경기도 양주시 남면 감악산로 63-37 (남면) ,한국동물구조관리협회,코검정/ 털때탐/ 뭉침/ 사람좋아함/ ,봉양동 347 인근,20200910,20200921
N441414202000657,2020(년생),4.5(Kg),M,믹스견,노/흰,N,http://www.animal.go.kr/files/shelter/2020/07/20200910150976_s.jpg,http://www.animal.go.kr/files/shelter/2020/07/20200910150976.jpg,경기도 양주시 남면 감악산로 63-37 ,한국동물구조관리협회,양귀처짐/ 코갈색/ 양뒷발며느리발톱/ 겁많음/ 입질/ 비명/ ,연천읍 차옥로 38-5 인근,20200910,20200921
N441409202001172,2018(년생),22(Kg),M,믹스견,갈/흰,N,http://www.animal.go.kr/files/shelter/2020/07/202009101409993[1]_s.jpg,http://www.animal.go.kr/files/shelter/2020/07/202009101409993[1].jpg,경기도 양주시 남면 감악산로 63-37 (남면) ,한국동물구조관리협회,양귀쫑긋/겁있음/조심스러움/천천히다가가면 사람 어느정도 따름/,장기동 112-1 세종기업 인근,20200910,20200921
N441409202001171,2020(년생),2.1(Kg),M,믹스견,갈/흰,N,http://www.animal.go.kr/files/shelter/2020/07/202009101409930_s.jpg,http://www.animal.go.kr/files/shelter/2020/07/202009101409930.jpg,경기도 양주시 남면 감악산로 63-37 (남면) ,한국동물구조관리협회,귀접혀있음/ 코검정/ 사람따름/ 온순함/ ,통진읍 서암리 1080 인근,20200910,20200921
N441409202001170,2020(년생),2.2(Kg),F,믹스견,연갈/흰,U,http://www.animal.go.kr/files/shelter/2020/07/202009101409627_s.jpg,http://www.animal.go.kr/files/shelter/2020/07/202009101409627.jpg,경기도 양주시 남면 감악산로 63-37 (남면) ,한국동물구조관리협회,귀접혀있음/ 코검정/ 양눈눈곱약간/ 사람따름/ 온순함/ ,통진읍 서암리 1080 인근,20200910,20200921
N441409202001169,2020(년생),2.1(Kg),M,믹스견,갈/흰,N,http://www.animal.go.kr/files/shelter/2020/07/202009101409204_s.jpg,http://www.animal.go.kr/files/shelter/2020/07/202009101409204.jpg,경기도 양주시 남면 감악산로 63-37 (남면) ,한국동물구조관리협회,귀접혀있음/ 코검정/ 사람따름/ 온순함/ ,통진읍 서암리 1080 인근,20200910,20200921
N441409202001168,2020(년생),2.1(Kg),M,믹스견,갈/흰,N,http://www.animal.go.kr/files/shelter/2020/07/202009101409747_s.jpg,http://www.animal.go.kr/files/shelter/2020/07/202009101409747.jpg,경기도 양주시 남면 감악산로 63-37 (남면) ,한국동물구조관리협회,귀접혀있음/ 코검정/ 사람따름/ 온순함/,통진읍 서암리 1080 인근,20200910,20200921
N441394202001869,2020(년생),3(Kg),F,믹스견,흰색,N,http://www.animal.go.kr/files/shelter/2020/07/202009091309109_s.jpg,http://www.animal.go.kr/files/shelter/2020/07/202009091309109.jpg,경기도 고양시 덕양구 고양대로 1695 (원흥동/ 고양시 농업기술센터) 고양시동물보호센터,고양시동물보호센터,아기강아지,벽제동 575-3,20200910,20200921
N441394202001868,2020(년생),2.8(Kg),M,믹스견,검정,N,http://www.animal.go.kr/files/shelter/2020/07/20200909130986_s.jpg,http://www.animal.go.kr/files/shelter/2020/07/20200909130986.jpg,경기도 고양시 덕양구 고양대로 1695 (원흥동/ 고양시 농업기술센터) 고양시동물보호센터,고양시동물보호센터,아기강아지,벽제동 575-3,20200910,20200921
